Time,Car,X,Y,"Distance to BS(4982,905)"
12,1064,4783,473,474
13,1064,5004,986,84
16,721,5186,560,400
17,721,4843,798,174
18,158,4572,980,416
19,158,4839,789,183
20,158,4839,783,187
21,158,4912,729,189
22,158,5186,535,422
23,1592,4718,843,270
24,1592,4841,738,218
25,1592,4841,758,203
26,1592,4845,781,183
27,5013,4728,870,255
27,1592,4833,771,199
28,1592,4978,663,241
28,5013,4857,777,178
28,4985,4710,883,272
29,1592,5452,344,731
29,5013,4878,773,167
29,4985,4888,758,174
30,5013,4989,934,29
30,4985,4973,864,41
31,5013,5126,1297,418
31,4985,5124,1284,404
33,1274,5238,516,465
33,2702,4786,1115,287
34,1274,5107,616,314
34,1086,4955,959,60
34,2702,4652,935,330
35,1086,4803,843,188
35,1274,4771,848,218
36,1086,4747,891,234
37,1086,4547,1053,458
37,5167,5045,1202,304
38,5167,4923,804,116
38,1086,4549,1057,458
39,5167,4915,781,140
39,1086,4549,1057,458
40,1086,4549,1057,458
41,1086,4549,1055,458
42,1086,4549,1055,458
43,1086,4550,1055,457
44,1086,4536,1067,473
44,2484,5499,336,768
45,2484,5150,595,352
46,2484,4954,736,170
47,2484,4954,736,170
48,2484,4954,736,170
49,2484,4954,736,170
50,2484,4845,806,167
51,3301,5211,555,418
51,2484,4591,992,399
52,3301,4958,729,177
52,4428,4981,974,69
53,3301,4959,729,177
53,4428,4774,479,473
54,3301,4959,729,177
55,3301,4958,727,179
56,3301,4850,802,166
56,2308,4917,808,116
57,3301,4535,1011,459
57,2308,4828,591,348
58,4429,5081,396,518
59,4429,5232,502,473
61,2175,5422,394,674
62,2175,5207,547,422
63,2175,5207,545,424
64,2175,4999,700,205
65,2175,4961,858,50
68,2111,5455,373,712
69,2111,5142,589,353
70,2111,4909,756,165
71,1000,4855,589,339
71,2111,4609,984,381
72,1000,5120,1264,385
72,3721,4809,814,194
73,3721,4854,779,178
74,3721,4853,779,179
75,3721,4852,779,180
76,3721,4885,754,178
77,722,5437,377,696
77,3721,4887,756,176
78,722,5096,622,304
78,3721,5001,976,74
79,2549,5085,1235,346
79,722,4945,736,172
80,2549,4895,761,166
80,722,4945,736,172
81,1467,5085,1257,366
81,2549,4726,369,593
81,722,4945,736,172
82,1467,4932,883,54
82,722,4742,883,240
83,1467,4914,798,125
83,5226,4768,425,524
84,1467,4915,798,125
84,5226,4853,613,319
85,1467,4909,754,167
85,5226,5094,1210,325
86,5067,5276,497,503
86,1467,4909,750,170
87,5067,5206,547,422
87,1467,5074,601,317
88,1467,5344,419,605
88,5067,5044,663,249
89,2382,5424,390,678
89,5067,4712,899,269
90,187,4720,1245,429
90,2472,4974,970,66
90,2382,5272,498,499
91,187,4718,1245,430
91,2472,4889,760,171
91,2382,5220,535,439
92,187,4717,1247,432
92,2382,5220,535,439
93,187,4738,1231,407
93,2382,5220,535,439
94,187,4751,1063,280
94,2382,5212,616,369
95,187,4624,968,363
95,2382,5207,613,368
96,2382,5202,591,383
97,2382,5202,591,383
98,2382,5145,500,435
99,1368,4519,1030,479
100,1368,4812,810,194
101,1087,4688,891,293
101,1368,4873,750,188
102,1368,4883,895,99
102,1087,4935,794,119
103,1087,5080,1154,268
112,581,5369,427,615
112,4204,4771,829,223
113,4204,4995,661,244
113,581,5010,686,220
114,581,4954,729,178
114,4204,5278,462,533
115,581,4954,729,178
116,581,4954,729,178
117,581,4954,729,178
118,581,4799,831,196
128,5187,4687,1289,484
129,5187,4789,1113,283
129,2158,5468,353,734
130,5187,4615,976,373
130,2158,5165,572,379
131,2158,4859,790,167
132,2158,4643,945,340
136,2708,5186,545,413
137,2708,4867,756,187
138,2708,4635,924,347
140,4053,4847,634,302
141,4053,5057,1119,227
142,5251,4927,860,70
143,5251,4910,821,109
143,4986,4667,916,314
144,5251,4908,825,108
144,4986,4841,783,186
145,4986,4844,783,183
145,5251,4898,758,169
146,5251,4902,756,168
146,4986,4844,783,183
146,734,5237,514,466
147,5251,5127,558,375
147,4986,4844,783,183
147,734,5213,529,440
148,734,5061,638,278
148,5045,5351,442,591
148,4986,4950,701,205
149,5045,5018,682,225
149,4986,5232,498,477
149,734,4823,814,182
150,4997,4692,1243,445
150,734,4518,1034,481
150,5045,4950,730,176
151,4997,4702,1229,428
151,5045,4950,730,176
152,4997,4697,1229,431
152,5045,4950,730,176
153,5045,4950,730,176
153,4997,4698,1231,432
154,4997,4887,1129,243
154,5045,4761,866,224
155,4997,4964,935,35
156,4997,4950,800,108
157,4997,5102,1214,332
157,4911,4630,941,353
158,4911,4753,850,234
159,4911,4813,806,195
160,4911,4938,719,190
161,4911,5253,489,496
162,3870,4636,930,346
163,3870,4843,771,192
164,3870,4843,773,190
165,3870,4843,773,190
166,3870,4869,703,230
167,4843,4570,980,418
167,3870,4862,690,245
168,3870,4862,690,245
168,4843,4845,771,190
169,3302,5356,1119,431
169,4843,4857,752,197
169,3870,4862,690,245
170,3870,4862,690,245
170,4843,4857,752,197
170,3302,5246,709,328
171,3870,4862,690,245
171,4843,4857,752,197
171,3302,5074,373,539
172,3870,4862,690,245
172,4843,5024,651,256
173,4843,5334,431,590
173,3870,4801,558,390
174,3870,4732,429,537
175,3870,4642,498,529
175,4904,4589,953,395
176,3870,4574,599,509
176,4904,4812,794,202
177,4904,4829,779,197
177,3870,4627,734,392
177,3614,5064,1216,322
178,4904,4869,758,184
178,3870,4671,864,313
178,3614,4903,827,110
179,3870,4672,879,310
179,3614,4688,918,293
179,4904,5072,591,326
180,4904,5121,456,469
180,3870,4672,879,310
181,3870,4739,845,249
181,4904,5041,319,588
182,3870,4802,794,210
183,3870,4833,765,203
184,3870,4993,667,238
185,3870,5344,409,613
195,4174,5055,1173,278
196,4174,4909,814,116
196,958,4888,760,172
197,958,4814,599,348
197,4174,4909,814,116
198,4174,4909,814,116
198,3349,4690,877,293
199,3349,4853,765,189
199,4174,4908,769,154
199,5117,4546,1005,446
200,4174,4915,754,164
200,3349,4852,771,186
200,5117,4813,819,188
201,5117,4852,787,175
201,4174,5120,589,344
201,3349,4852,771,186
